distance_from_center,frame_0_right,frame_0_left,frame_1_right,frame_1_left,frame_2_right,frame_2_left,frame_3_right,frame_3_left,frame_4_right,frame_4_left,frame_5_right,frame_5_left,frame_6_right,frame_6_left,frame_7_right,frame_7_left,frame_8_right,frame_8_left,frame_9_right,frame_9_left,frame_10_right,frame_10_left,frame_11_right,frame_11_left,frame_12_right,frame_12_left,frame_13_right,frame_13_left,frame_14_right,frame_14_left,frame_15_right,frame_15_left,overall_mean
0.025,0.02186878727634195,0.3941605839416058,1.0,0.12239428231089934,0.8812064965197215,0.3522755846115162,0.05519176800748364,0.012435991221653255,0.11345646437994723,0.01937874038187518,0.2574457344775366,1.0,0.4337078651685394,1.0,1.0,1.0,0.7676304278246026,1.0,0.11217948717948716,0.13586413586413587,0.3671858774662513,0.7639788110653324,0.026296018031555225,0.28539325842696633,0.7642502482621649,1.0,0.8958375226221598,0.6880579010856454,0.055407969639468695,0.13043478260869565,0.5148221343873519,0.07536764705882354,0.47644464124436753
0.07500000000000001,0.03737574552683897,0.5766423357664233,0.8124362895005097,0.07415128052412151,0.6245939675174014,0.3213477495599698,0.011225444340505146,0.0073152889539136795,0.3825857519788919,0.01852379595326304,0.22463402322059564,0.21705426356589147,0.7544141252006421,0.14495412844036695,0.7025641025641025,0.7619783616692427,1.0,0.6996923076923076,0.15170940170940167,0.3173493173493174,0.633644859813084,0.9994114184814594,0.027548209366391182,0.2561797752808989,0.5610724925521351,0.273938795656466,0.9083048461693143,1.0,0.020113851992409868,0.04695652173913043,0.22628458498023715,0.09283088235294117,0.4027135599818179
0.125,0.05168986083499006,0.29927007299270075,0.5229357798165137,0.11435378201310305,0.6529002320185615,0.4646718632134775,0.011225444340505146,0.01572787125091441,0.5303430079155673,0.036477628954117984,0.4182231196365472,0.07364341085271318,0.7768860353130016,0.14678899082568805,0.5705603038936372,0.5258114374034003,0.645257654966393,0.17184615384615382,0.06677350427350427,0.24775224775224775,0.47331256490135,0.7321954090641553,0.01652892561983471,0.056179775280898875,1.0,0.27393879565646595,0.9766740398150009,0.8562123039806995,0.12333965844402277,0.1582608695652174,1.0,0.140625,0.3797001795137932
0.17500000000000002,0.055666003976143144,0.6715328467153284,0.3598369011213048,0.2826086956521739,0.7888631090487239,0.5886346492330903,0.13938260056127222,0.008778346744696415,0.3113456464379947,0.2912510686805358,0.6236749116607774,0.044573643410852716,1.0,0.15229357798165136,0.5944919278252612,0.3984544049459042,0.6037554678331377,0.08169230769230769,0.3381410256410256,0.3786213786213786,1.0,1.0,0.013022789882294014,0.10112359550561799,0.6355511420059585,0.12290227048371175,1.0,0.5334137515078408,0.1157495256166983,0.19826086956521738,0.4486166007905139,0.6245404411764706,0.42208685938493384
0.225,0.02186878727634195,0.23357664233576644,0.09785932721712537,0.5068493150684933,0.8185614849187935,0.6560221272315816,0.2507015902712816,0.09656181419166056,0.5514511873350924,0.6868053576517528,0.6625441696113074,0.01937984496124031,0.5929373996789727,0.02935779816513761,0.2510921177587844,0.1338485316846986,0.2082577616558199,0.023384615384615386,0.5405982905982906,0.49050949050949044,0.7376947040498443,0.5974102413184225,0.043826696719258706,0.058426966292134834,0.7849056603773585,0.1915103652517276,0.6694148401367384,0.7563329312424607,0.11802656546489564,0.19478260869565217,0.6284584980237155,0.7228860294117646,0.3867451175153194
0.275,0.06600397614314116,0.781021897810219,0.028542303771661566,0.8451459201905898,0.7053364269141531,0.6939904450590898,0.18428437792329283,0.09070958302852963,0.43799472295514513,1.0,1.0,0.03488372093023256,0.47833065810593894,0.03669724770642201,0.2296296296296296,0.15734157650695518,0.19705537181265337,0.012769230769230769,1.0,0.8048618048618049,0.5570093457943925,0.5573866980576809,0.08314550463310794,0.3932584269662922,0.5068520357497518,0.6001974333662389,0.9147395938065552,0.6301568154402895,0.02732447817836812,0.09739130434782609,0.1264822134387352,1.0,0.44620446074681025
0.32500000000000007,0.03936381709741551,0.32116788321167883,0.0948012232415902,1.0,1.0,1.0,0.3788587464920487,0.19019751280175567,1.0,0.8857224280421774,0.8329126703685007,0.06007751937984497,0.2141252006420546,0.08440366972477063,0.33333333333333337,0.22565687789799077,0.15928731462712048,0.012153846153846152,0.7147435897435896,0.7659007659007661,0.20602284527518175,0.36845203060623893,0.15326821938392188,0.12808988764044946,0.18013902681231383,0.35982230997038506,0.792881560426302,0.6171290711700844,0.0777988614800759,0.3026086956521739,0.3972332015810277,0.7306985294117647,0.4258390824396376
0.375,0.09622266401590457,0.4817518248175182,0.10295616717635066,0.6247766527695058,0.7443155452436194,0.6323862207694243,0.21702525724976618,0.0980248719824433,0.8073878627968337,0.9150755200911941,0.31675921251892986,0.09302325581395349,0.22921348314606743,0.08256880733944953,0.256980056980057,0.12766615146831528,0.2768590632668303,0.057846153846153846,0.9348290598290597,1.0,0.1208722741433022,0.2377869334902884,0.2762334084648134,0.12134831460674157,0.21092353525322743,0.3395853899308984,0.6708224411823849,0.7372738238841977,0.11005692599620494,0.5095652173913043,0.3013833992094862,0.7895220588235294,0.39128254854680483
0.42500000000000004,0.06878727634194831,0.3357664233576642,0.05708460754332313,0.24061941631923767,0.7183294663573085,0.6645712848881066,0.4574368568755847,0.09436722750548646,0.8575197889182059,0.8771729837560558,0.11231701161029782,0.060077519379844964,0.09181380417335475,0.2899082568807339,0.3000949667616334,0.07202472952086551,0.2284220633735197,0.07846153846153846,0.6720085470085471,0.6666666666666667,0.12585669781931466,0.3343143025309005,0.42875031304783373,0.17752808988764046,0.12293942403177759,0.28331688055281345,0.2978081640860648,0.5223160434258143,0.13965844402277042,0.408695652173913,0.791501976284585,0.26424632352941174,0.33876196084664884
0.475,0.2059642147117296,0.7226277372262774,0.029561671763506627,0.13907087552114353,0.6357308584686775,0.6447070656273572,1.0,0.07607900512070226,0.9656992084432718,0.7999430037047592,0.0757193336698637,0.021317829457364337,0.053932584269662916,0.1889908256880734,0.4332383665716999,0.0741885625965997,0.3191080763896298,0.2343076923076923,0.218482905982906,0.3976023976023976,0.19750778816199377,0.7286639199529132,0.9739544202354119,0.348314606741573,0.09890764647467727,0.23395853899308985,0.2839332394932636,0.7377563329312424,0.0808349146110057,0.2573913043478261,0.30533596837944665,0.2821691176470589,0.3676562504091504
0.525,0.17693836978131214,0.31386861313868614,0.059123343527013254,0.020547945205479458,0.6380510440835266,0.5848629620316821,0.8531337698783911,0.05998536942209218,0.712401055408971,0.8335708178968366,0.17036850075719334,0.025193798449612403,0.03113964686998395,0.4128440366972477,0.24691358024691357,0.12086553323029366,0.20057612290622,0.2135384615384615,0.09455128205128206,0.06893106893106893,0.11900311526479752,0.5008828722778105,0.7012271475081393,0.5483146067415731,0.17437934458788482,0.4787759131293189,0.14437965011059725,0.6844390832328106,0.1332068311195446,0.5252173913043477,0.20355731225296447,0.08042279411764706,0.31660035574061574
0.5750000000000001,0.4572564612326044,0.927007299270073,0.04791029561671763,0.029184038117927347,0.5443155452436195,0.5954236861956248,0.9130028063610851,0.03145574250182882,0.4802110817941953,0.6927899686520378,0.48712771327612314,0.01744186046511628,0.033065810593900485,0.510091743119266,0.23171889838556503,0.12364760432766615,0.160460898324976,0.25046153846153846,0.2419871794871795,0.03596403596403597,0.2510903426791277,0.8569746909947026,0.6536438767843726,0.8112359550561797,0.093545183714002,0.32181638696939785,0.09611904283128897,0.7898673100120628,0.10929791271347249,0.9478260869565217,0.38833992094861663,0.3897058823529412,0.39124958748136773
0.625,0.3510934393638171,0.4233576642335766,0.12640163098878696,0.018165574746873143,0.5220417633410673,0.6379180286648227,0.39382600561272224,0.05193855157278712,0.5461741424802111,0.523795953263038,0.6385663806158505,0.04263565891472868,0.0552166934189406,0.15963302752293576,0.21614434947768282,0.16197836166924268,0.05601194921583271,0.09953846153846153,0.5389957264957265,0.06959706959706959,0.1904465212876428,0.6957033549146557,1.0,1.0,0.045878848063555126,0.35587364264560717,0.02855419264025739,0.47575392038600717,0.13548387096774195,0.6295652173913043,0.20750988142292492,0.08869485294117646,0.3277029604810952
0.675,0.8707753479125249,0.5547445255474452,0.17431192660550457,0.11882072662298988,0.6180974477958237,0.8109127483027407,0.2787652011225445,0.03182150694952451,0.5514511873350924,0.1194072385294956,0.30338213023725386,0.027131782945736437,0.031460674157303366,0.3229357798165137,0.25584045584045584,0.2788253477588872,0.018884028592766458,0.06123076923076923,0.4652777777777777,0.14985014985014986,0.35680166147455866,0.7239552678045907,0.656649135987979,0.449438202247191,0.11896722939424034,0.4457058242843041,0.016489040820430324,0.6147165259348613,0.34952561669829224,1.0,0.0849802371541502,0.03170955882352941,0.340402032923607
0.7250000000000001,0.4946322067594433,0.5255474452554745,0.3751274209989806,0.021143537820131036,0.39164733178654293,0.4324867990947951,0.2731524789522919,0.027432333577176296,0.37994722955145127,0.03562268452550584,0.20015143866733973,0.03488372093023256,0.07415730337078652,0.16880733944954127,0.17132003798670467,0.2973724884080371,0.010562253280699884,0.04138461538461538,0.18376068376068375,0.27472527472527475,0.2589823468328141,0.4414361389052383,0.6005509641873278,0.33707865168539325,0.09275074478649457,0.39585389930898335,0.030565051276895235,0.4050663449939686,1.0,0.7147826086956521,0.1590909090909091,0.01516544117647059,0.2770371164133079
0.775,1.0,1.0,0.40468909276248727,0.030970815961882076,0.41809744779582364,0.3867236610510435,0.05144995322731526,0.07205559619604975,0.2902374670184697,0.007409518381305216,0.05931347804139323,0.03488372093023256,0.10048154093097914,0.11009174311926605,0.16334283000949668,0.3347758887171561,0.014296383228422065,0.047538461538461536,0.08760683760683761,0.2247752247752248,0.4357217030114226,0.7904649793996468,0.5672426746806912,0.27415730337078653,0.14200595829195634,0.8775913129318856,0.04826060727930827,0.33703256936067544,0.69146110056926,0.9321739130434783,0.14130434782608697,0.0,0.3148798790955326
0.8250000000000001,0.36938369781312125,0.2408759124087591,0.5718654434250764,0.07057772483621205,0.35962877030162416,0.31078702539602715,0.09635173058933584,0.3284564740307242,0.2058047493403694,0.017098888572242805,0.046945986875315496,0.01937984496124031,0.06902086677367576,0.06972477064220182,0.19354226020892687,0.4259659969088099,0.007041502187133257,0.022923076923076918,0.04113247863247863,0.2057942057942058,0.2602284527518173,0.43025309005297224,0.6040570999248684,0.11685393258426965,0.17477656405163855,0.4200394866732478,0.03277699577719686,0.17394451145958983,0.3927893738140418,0.36869565217391304,0.04545454545454546,0.0,0.20913034722933305
0.875,0.627037773359841,0.3795620437956204,0.4464831804281345,0.045265038713519966,0.3498839907192575,0.2841337691727433,0.18147801683816656,0.6298463789319678,0.2216358839050132,0.029638073525220857,0.027763755678950022,0.02131782945736434,0.0895666131621188,0.06972477064220182,0.12326685660018993,0.23462132921174653,0.013336178384722076,0.028307692307692305,0.06944444444444443,0.06327006327006326,0.26666666666666666,0.6409652736904059,0.1329827197595793,0.05393258426966292,0.09692154915590866,0.26357354392892407,0.04926603659762719,0.26176115802171285,0.9123339658444023,0.5808695652173913,0.06225296442687747,0.0,0.2267846784415043
0.925,0.3069582504970179,0.11678832116788322,0.21916411824668705,0.038117927337701016,0.2566125290023202,0.19059592657782248,0.4031805425631432,0.6517922457937088,0.04221635883905014,0.03077799943003705,0.005047955577990914,0.009689922480620155,0.03402889245585875,0.11559633027522936,0.12934472934472932,0.1400309119010819,0.005121092499733276,0.01661538461538461,0.1063034188034188,0.041292041292041295,0.24319833852544134,0.3307828134196586,0.08439769596794391,0.15730337078651688,0.09533267130089376,0.18706811451135244,0.03720088477780012,0.2335343787696019,0.7013282732447819,0.3095652173913043,0.0,0.0,0.16371833304364855
0.9750000000000001,0.3216699801192843,0.13138686131386862,0.12538226299694188,0.024121500893388926,0.29791183294663576,0.19637918028664822,0.43872778297474285,1.0,0.023746701846965704,0.02764320319179254,0.0012619888944977284,0.023255813953488375,0.02536115569823435,0.04403669724770642,0.035137701804368475,0.22565687789799077,0.005014403072655499,0.010153846153846152,0.0673076923076923,0.03896103896103896,0.13541017653167187,0.21483225426721594,0.1217129977460556,0.3415730337078651,0.07090367428003973,0.16140177690029617,0.006434747637241101,0.2200241254523522,0.5248576850094877,0.46956521739130436,0.0,0.0,0.16655725660891618
